v_perp_0,v_perp_1,v_para
-416.85550436418816,-662.5567900464209,729.9623114529045
-416.85550436418816,-662.5567900464209,729.9623114529045
-157.2378707396692,-746.3772293864151,750.8609700496179
-157.2378707396692,-746.3772293864151,750.8609700496179
121.69566642423516,-781.7166481348992,720.9052219178586
121.69566642423516,-781.7166481348992,720.9052219178586
388.65637691580696,-763.1163846575893,642.0237798732201
388.65637691580696,-763.1163846575893,642.0237798732201
628.0435082885834,-693.1663843622814,520.2659259487727
628.0435082885834,-693.1663843622814,520.2659259487727
826.8919617726342,-575.2528955794054,361.8407682498223
826.8919617726342,-575.2528955794054,361.8407682498223
-766.6631723957147,-339.7692203298357,500.8070501109332
-766.6631723957147,-339.7692203298357,500.8070501109332
-601.5951046097995,-482.3058970910544,599.572871595703
-601.5951046097995,-482.3058970910544,599.572871595703
-380.4078301397922,-604.6263267332857,666.1382506788946
-380.4078301397922,-604.6263267332857,666.1382506788946
-143.48981187874105,-681.1179365480901,685.2096358383214
-143.48981187874105,-681.1179365480901,685.2096358383214
111.05524462528196,-713.367429514882,657.8730256094868
111.05524462528196,-713.367429514882,657.8730256094868
354.6743128258501,-696.3935018608316,585.8885905507304
354.6743128258501,-696.3935018608316,585.8885905507304
573.1306996416109,-632.5595850223306,474.776626250793
573.1306996416109,-632.5595850223306,474.776626250793
754.5928898643436,-524.9558431382711,330.2033423306939
754.5928898643436,-524.9558431382711,330.2033423306939
-699.6253338082086,-310.05946148155584,457.0159836318053
-699.6253338082086,-310.05946148155584,457.0159836318053
-548.990982486649,-440.1325922596545,547.1456304391158
-548.990982486649,-440.1325922596545,547.1456304391158
-347.1445694681392,-551.7571767893434,607.890443058463
-347.1445694681392,-551.7571767893434,607.890443058463
-130.94291182764783,-621.5603208236618,625.294251646742
-130.94291182764783,-621.5603208236618,625.294251646742
101.34444831573528,-650.9898526153889,600.3479481091605
101.34444831573528,-650.9898526153889,600.3479481091605
323.6611955694776,-635.5001528901931,534.6579149142563
323.6611955694776,-635.5001528901931,534.6579149142563
523.015503926061,-577.2479096521628,433.2616763574261
523.015503926061,-577.2479096521628,433.2616763574261
688.6104499583417,-479.05312602968337,301.33000255195657
688.6104499583417,-479.05312602968337,301.33000255195657
-638.4363504518221,-282.94175857102243,417.045514585966
-638.4363504518221,-282.94175857102243,417.045514585966
-500.97641549497246,-401.6387512305757,499.2924659439245
-500.97641549497246,-401.6387512305757,499.2924659439245
-316.7834399638205,-503.50067140397033,554.7245488420758
-316.7834399638205,-503.50067140397033,554.7245488420758
-119.49068870587698,-567.1988582667622,570.6062134481255
-119.49068870587698,-567.1988582667622,570.6062134481255
92.48089607443656,-594.0545060357997,547.8417305493471
92.48089607443656,-594.0545060357997,547.8417305493471
295.3539019840525,-579.9195110874168,487.8968975877915
295.3539019840525,-579.9195110874168,487.8968975877915
477.2727659040909,-526.761995035913,395.3687450858565
477.2727659040909,-526.761995035913,395.3687450858565
628.3848395043141,-437.1553278272707,274.9758068164142
628.3848395043141,-437.1553278272707,274.9758068164142
-582.6072017224866,-258.1994446558467,380.5762668800239
-582.6072017224866,-258.1994446558467,380.5762668800239
-457.1676826498917,-366.51676923393615,455.6309842246396
-457.1676826498917,-366.51676923393615,455.6309842246396
-289.0817834761625,-459.4712147713237,506.21572641533976
-289.0817834761625,-459.4712147713237,506.21572641533976
-109.04162802529488,-517.5991850303373,520.7085748681895
-109.04162802529488,-517.5991850303373,520.7085748681895
