,v_perp_0,v_para,v_perp_1,f(v)
82,-289.0817834761625,506.21572641533976,-459.47121477132373,0.0
83,-109.04162802529487,520.7085748681895,-517.5991850303373,0.0
84,84.39374953651846,499.934798619605,-542.1064276570796,0.0
85,269.52618407653375,445.2319328324984,-529.2074693660804,0.005961578587543402
86,435.5368772716227,360.79504901824566,-480.698408860142,0.0
87,573.4346822490486,250.93007443737451,-398.9275381564133,0.0
88,-531.7155806987856,347.33235770119927,-235.64533378431074,0.0
89,-417.23341099521434,415.83094385877894,-334.5009827023259,0.0
90,-263.8300498677197,461.99703014593615,-419.33571603164734,0.0
91,-99.51667618589093,475.22389478237824,-472.38610664448873,0.03437218118394097
92,77.02183448601392,456.2647162923205,-494.75259289040963,0.03437218118394097
93,245.9826858268243,406.3402491726347,-482.9804024708383,0.008593045295985242
94,397.49205799463635,329.27906502177757,-438.7086800996748,0.0
95,523.3443042531528,229.0109386951881,-364.0806027862272,0.0
96,-485.24572686373574,316.97685569248006,-215.0508414143531,0.0
97,-380.76882618346747,379.48890965494957,-305.26688316711426,0.0
98,-240.7723265017877,421.62028230125975,-382.6874095808399,0.0
99,-90.8193101231289,433.6911971547962,-431.1014256244832,0.08671933321503311
100,70.29042242155452,416.38895255988484,-451.5131389881089,0.1238847781258796
101,224.48475063677841,370.8276810822799,-440.76978661502915,0.08671933321503311
102,362.7528127329057,300.5013516104855,-400.3672526558806,0.0
103,477.6060477131424,208.99627900945006,-332.2613871096081,0.0
104,-442.85555740787646,289.2863643516721,-196.2644155843567,0.0
105,-347.50556981654313,346.33749635881895,-278.59936170289257,0.0
106,-219.73890696079755,384.78834860353004,-349.25656867575714,0.017857322009072876
107,-82.88550568522429,395.8047602906154,-393.44122318589626,0.10714393779385836
108,64.14998508329452,380.0140293629678,-412.0698283102231,0.8571515023508669
109,204.87417803574118,338.432885799373,-402.2649762719653,0.05357196889692918
110,331.0633819529962,274.25012798674925,-365.39192236017834,0.0
111,435.8832614746512,190.73877420904364,-303.23566198687246,0.0
112,-404.0750781052565,263.95379572007323,-179.0776994437461,0.0
113,-317.07480061046,316.0090081579192,-254.20264463053527,0.0
114,-200.49655471180716,351.0927259819432,-318.67244073094554,0.0
115,-75.62728865528562,361.1444398688352,-358.9878784759547,0.1803493054207405
116,58.53241768521344,346.73649195531334,-375.98519294018087,1.7519647206240514
117,186.9335141335645,308.7966151784874,-367.03897732595163,0.360698610841481
118,302.07245115917925,250.23428227267596,-333.39486229433044,0.0
119,397.7133269098981,174.03593831237572,-276.68156741707907,0.0
120,-368.7616202884108,240.88598674743525,-163.42749648580457,0.0
121,-289.36459589509604,288.39192001582205,-231.9870180142974,0.03714342048801678
