v_para,v_perp_0,v_perp_1,f(v),counts
-483.55007635380514,286.9596388608532,-28.609376603944472,0.0,0.0
-392.50288671520684,402.85404644594564,-25.20124200518263,0.0,0.0
-261.6634551554033,-428.0679365462828,-8.688573763065966,0.0,0.0
-357.76418594895705,-351.53521063619155,-14.601494868141875,0.0,0.0
-438.00093075190694,-244.00559447976534,-20.04638647848083,0.0,0.0
-485.4066136466285,-124.87629140892882,-23.91076656450549,0.17125936,6.0
-501.04932076101375,6.735570362860061,-26.260730058411816,0.31397548,11.0
-482.2105114922312,136.16558313153564,-26.78345692663312,0.0,0.0
-430.9603959672421,255.75063999688552,-25.497891000141056,0.0,0.0
-349.8152721505285,359.0407019460935,-22.460417296786392,0.0,0.0
-233.21305936139828,-381.52458096091095,-7.74387215252093,0.0,0.0
-318.86486296380053,-313.3131436985156,-13.01389060102744,0.0,0.0
-390.37757721646165,-217.47513362464733,-17.86676836164298,0.0,0.0
-432.62888301464983,-111.29862306659133,-21.310977958259993,0.13570166,3.0
-446.57075972140854,6.003220498525174,-23.405430360795826,0.7237422,16.0
-429.78029145405407,121.36044578566798,-23.871321626838924,0.045233887,1.0
-384.1025254842218,227.94314375598395,-22.725532802102165,0.0,0.0
-311.7802321994195,320.0025683580618,-20.0183206899199,0.0,0.0
-207.79059645207266,-339.93472644301715,-6.899715371394046,0.0,0.0
-284.1055306842402,-279.1590126724528,-11.595250695199951,0.0,0.0
-347.82265492004734,-193.7682497234852,-15.919115865843757,0.0,0.0
-385.4681765518687,-99.16600342738805,-18.98787558515702,0.57419825,8.0
-397.89025655566957,5.3488141113061705,-20.85401265723932,1.1483965,16.0
-382.9300818222863,108.13098820143632,-21.269111531878572,0.07177478,1.0
-342.2316631275197,203.09515362942946,-20.248230486944966,0.0,0.0
-277.7931896069259,285.119218096967,-17.836131380090524,0.0,0.0
-185.23525948153113,-303.03533976522255,-6.150763330629676,0.0,0.0
-253.26632825929346,-248.85674381959703,-10.336604057465346,0.0,0.0
-310.06704008336493,-172.7350162407854,-14.191117298049814,0.0,0.0
-343.6262164954956,-88.40169075898504,-16.926772211915456,3.5232418,31.0
-354.69988622355953,4.768208613535229,-18.590338555149916,13.638354,120.0
-341.36365412402233,96.3935408856106,-18.96038839894108,0.2273059,2.0
-305.08295887255923,181.04949646045569,-18.050316355771592,0.0,0.0
-247.63918513498962,254.1699847967031,-15.900048750809445,0.0,0.0
-165.14351108612288,-270.1663061512038,-5.483613055206743,0.0,0.0
-225.79551842588086,-221.86422980658108,-9.215432226212938,0.0,0.0
-276.43530926262054,-153.99913014420702,-12.651865369829341,0.5396975,3.0
-306.3544056923943,-78.81310646495383,-15.090785865354086,57.56773,320.0
-316.226979918746,4.251022578710088,-16.573916775886172,48.932568,272.0
-304.3372495671832,85.93811216653742,-16.90382469148841,0.3597983,2.0
-271.99180186512757,161.41176851193103,-16.09246807606743,0.0,0.0
-220.7787304556082,226.60116225665203,-14.175430575996314,0.0,0.0
-147.10748783495012,-240.66026645571486,-4.884726056582017,0.0,0.0
-201.13542832087916,-197.6334790308234,-8.208977356350351,0.0,0.0
-246.24462634561655,-137.18021775842797,-11.270104441838223,1.1428685,4.0
-272.8961554898779,-70.20559172146334,-13.442662575540107,66.286385,232.0
-281.6904968032536,3.786745874157933,-14.763813149182349,164.57306,576.0
-271.09928082733177,76.55243836008628,-15.057687587592104,5.714343,20.0
-242.2864140839768,143.78328758959591,-14.334942042857433,0.0,0.0
-196.66654082367134,201.8530660787986,-12.627273497791982,0.0,0.0
-131.18000284756502,-214.6037544905952,-4.355848852183896,0.0,0.0
-179.35828183226337,-176.2355136835856,-7.320181356944786,0.4518608,1.0
-219.58345888033352,-122.3275818643282,-10.049874143884551,6.3260503,14.0
-243.3493958127326,-62.604359227031146,-11.987207482872781,130.13588,288.0
-251.19156819714627,3.3767524206022173,-13.16531758369372,104.831696,232.0
-241.7470897613301,68.26403325483643,-13.427376372029276,2.259304,5.0
-216.05382344047862,128.2157338598166,-12.782883996877194,0.0,0.0
-175.37325182455027,179.998241184765,-11.260103668899946,0.0,0.0
-116.88570221718285,-191.21897496862022,-3.8812072291782367,0.0,0.0
-159.8141213166759,-157.031616396827,-6.522521686007263,0.0,0.0
-195.65607158563546,-108.9978904921505,-8.954769500555653,0.7168527,1.0
-216.83231218469422,-55.782538871910866,-10.680999165553136,34.40893,48.0
-223.81993176434239,3.0087975538078857,-11.73072968137999,71.685265,100.0
-215.40460413998855,60.82548848843252,-11.96423450351363,10.035937,14.0
-192.5110519268227,114.24443016522551,-11.389969465364233,0.0,0.0
-156.26332765732653,160.38433119723794,-10.033122877407523,0.0,0.0
-104.14595032456607,-170.37740251119115,-3.4581817343990235,0.0,0.0
-142.39546693873388,-139.91623910851123,-5.81161234989099,0.0,0.0
-174.33089761840213,-97.11785806680996,-7.978762324275717,0.0,0.0
-193.19905828558353,-49.702620132070464,-9.516843390461721,7.9616647,7.0
-199.4250844008268,2.680857141095457,-10.452162510455695,4.549523,4.0
-191.92696952597154,54.1959257572174,-10.66021623673109,1.1373807,1.0
-171.528658477629,101.79255494169821,-10.1485417001288,0.0,0.0
-139.23168490324963,142.90352939123804,-8.939580996923365,0.0,0.0
-92.7582816441841,-151.7477598995295,-3.0800525827017644,0.0,0.0
-126.82546630002736,-124.61732754072818,-5.176150870705825,0.0,0.0
-155.26896394077423,-86.49866045280956,-7.1063360459451586,0.0,0.0
-172.07401888829426,-44.267968814889834,-8.476237545078911,3.6148863,2.0
-177.61927249282408,2.3877232977072644,-9.30928658618416,5.4223294,3.0
-170.9410112873002,48.26996177432494,-9.494588798206113,0.0,0.0
-152.7731305290402,90.66221273085344,-9.038865492221461,0.0,0.0
-124.00762061609883,127.27798286996973,-7.962097181885672,0.0,0.0
-82.65066662655212,-135.2122258375288,-2.7444279838495547,0.0,0.0
-113.00564746371744,-111.03811877267708,-4.612120303887996,0.0,0.0
-138.3497277997307,-77.07314126840484,-6.331977440727084,0.0,0.0
-153.32358812791568,-39.44421035914345,-7.552605762900591,0.0,0.0
-158.26459432080736,2.127538687058408,-8.294880063612625,0.0,0.0
-152.31404048557792,43.01011723565469,-8.459989696551846,0.0,0.0
-136.12586252385915,80.78300484941037,-8.053924927578633,0.0,0.0
-110.49485034669397,113.40884710894024,-7.094488385479269,0.0,0.0
-73.64229783218099,-120.47501894114328,-2.445302697217063,0.0,0.0
-100.688795019077,-98.9357217346628,-4.109430121502602,0.0,0.0
-123.27054624027988,-68.67269165423053,-5.641834858915877,0.0,0.0
-136.6123610021024,-35.145059151254955,-6.7294235820196375,0.0,0.0
-141.01482485465974,1.8956538664438234,-7.390794303363808,0.0,0.0
